timestamp,heart_rate,spo2,breathing_rate,gsr,temperature,dehydration_index,posture,fall_detected,steps
0,115.2,95.0,32.7,19.41,38.9,4.9,Walking,false,2
1,123.2,97.2,23.4,11.30,38.7,6.5,Walking,false,4
2,149.6,95.2,27.5,10.10,38.7,5.9,Walking,false,6
3,132.3,94.7,22.5,11.93,38.3,5.3,Running,false,6
4,112.5,98.4,31.2,11.81,37.8,5.0,Walking,false,6
5,116.5,97.8,23.9,16.91,38.8,6.9,Walking,false,8
6,141.2,95.8,29.0,12.46,37.8,6.1,Walking,false,9
7,148.1,95.5,30.8,19.26,39.0,4.0,Running,false,9
8,119.2,95.3,32.3,12.82,38.3,6.8,Running,false,9
9,127.9,94.3,30.4,10.28,38.1,7.6,Running,false,10
10,150.1,97.9,33.5,19.65,37.6,7.4,Running,false,12
11,131.6,95.8,22.2,12.54,38.5,4.8,Walking,false,14
12,143.5,94.0,23.2,16.98,38.2,6.9,Walking,false,15
13,121.7,95.0,32.1,17.01,38.7,6.0,Running,false,16
14,138.9,97.9,27.3,12.09,38.9,6.0,Walking,false,16
15,101.1,96.7,22.3,11.88,37.9,7.8,Walking,false,18
16,153.3,94.2,32.2,18.16,38.6,5.4,Walking,false,20
17,146.9,95.3,22.1,14.52,38.1,6.1,Walking,false,21
18,109.7,96.5,26.3,15.54,38.1,5.2,Running,false,21
19,118.2,96.0,25.4,14.27,37.8,5.2,Walking,false,21
20,110.8,96.0,28.4,12.92,38.0,4.3,Walking,false,21
21,114.9,96.9,34.9,12.37,38.9,7.2,Walking,false,22
22,133.3,95.4,22.8,13.38,38.9,5.1,Running,false,22
23,129.8,94.6,30.2,18.96,38.1,5.6,Walking,false,23
24,131.8,94.8,33.4,15.60,38.2,7.1,Walking,false,24
25,159.6,96.3,23.6,16.25,38.5,5.7,Running,false,24
26,134.4,94.9,28.3,10.55,38.7,6.7,Walking,false,25
27,103.3,98.7,23.2,19.61,37.9,6.8,Running,false,25
28,145.2,98.2,30.7,10.05,38.9,4.4,Running,false,25
29,140.8,95.3,26.1,13.66,37.9,4.2,Running,false,27
30,102.7,97.1,22.2,15.06,38.6,5.2,Walking,false,28
31,149.4,94.1,34.3,18.48,38.6,4.1,Running,false,28
32,152.0,96.1,25.6,18.90,39.0,7.5,Walking,false,28
33,152.8,97.1,33.2,18.53,38.4,6.2,Running,false,28
34,122.5,94.2,20.5,10.25,38.1,7.9,Walking,false,29
35,126.0,96.8,30.3,18.23,38.3,4.0,Running,false,31
36,105.1,98.1,20.1,19.58,38.1,7.5,Walking,false,31
37,151.0,97.0,33.2,11.53,37.9,7.8,Running,false,32
38,137.7,97.0,21.7,12.48,37.7,4.9,Walking,false,34
39,140.1,97.6,34.3,16.13,38.2,6.7,Walking,false,34
40,105.4,94.7,24.9,12.38,38.1,7.2,Running,false,35
41,115.8,98.6,31.4,17.48,37.6,7.3,Walking,false,35
42,149.8,94.3,32.5,10.16,39.0,5.6,Walking,false,35
43,142.1,96.0,20.7,14.73,38.8,5.5,Running,false,36
44,118.7,97.3,29.9,16.45,38.3,6.0,Walking,false,36
45,145.3,97.9,23.9,17.62,38.7,7.2,Running,false,37
46,131.2,98.9,32.8,10.62,38.9,6.5,Walking,false,39
47,103.7,98.0,21.3,16.54,38.7,6.7,Running,false,39
48,155.6,95.3,22.1,19.84,38.0,4.5,Walking,false,41
49,155.3,96.6,29.2,13.07,38.5,7.5,Running,false,42
50,109.2,95.3,28.5,13.81,38.8,6.5,Running,false,44
51,150.0,98.5,34.9,14.03,38.2,7.8,Running,false,46
52,103.6,95.4,22.9,13.49,38.0,7.4,Walking,false,47
53,102.9,99.0,31.5,19.05,38.4,4.4,Walking,false,49
54,142.4,94.1,34.6,14.89,37.9,4.6,Running,false,49
55,110.3,95.5,21.7,15.43,38.7,8.0,Walking,false,50
56,115.8,97.2,32.4,13.40,38.7,4.9,Walking,false,52
57,148.5,97.9,25.9,17.26,37.9,6.0,Running,false,54
58,135.1,94.2,31.5,16.68,38.2,6.2,Walking,false,54
59,122.7,98.6,23.6,16.84,38.1,6.4,Running,false,56
60,116.3,97.5,30.1,14.80,38.2,5.8,Walking,false,56
61,126.2,95.3,30.5,16.55,39.0,6.4,Running,false,56
62,152.1,96.2,25.0,11.20,38.4,7.5,Walking,false,58
63,126.0,97.6,31.9,15.30,38.2,6.3,Running,false,58
64,150.2,98.1,34.2,19.03,38.5,4.1,Walking,false,59
65,147.9,94.9,33.3,18.17,38.1,5.6,Walking,false,61
