timestamp,heart_rate,spo2,breathing_rate,gsr,temperature,dehydration_index,posture,fall_detected,steps
0,145.0,97.2,32.9,19.50,38.1,7.4,Walking,false,2
1,130.6,97.1,27.9,14.90,38.5,4.5,Walking,false,3
2,141.1,95.1,34.0,14.44,37.7,5.1,Running,false,4
3,131.5,95.8,30.4,10.39,38.1,6.9,Running,false,5
4,131.2,97.6,27.8,12.56,37.7,7.5,Walking,false,7
5,128.6,98.1,21.3,14.51,38.6,7.6,Walking,false,7
6,114.4,96.9,20.8,17.53,38.9,7.7,Running,false,9
7,127.9,98.8,26.6,19.60,38.3,8.0,Running,false,9
8,124.4,97.6,31.4,19.34,38.6,4.5,Running,false,11
9,110.5,97.5,28.3,11.71,38.0,7.8,Running,false,12
10,116.1,97.2,34.3,17.95,38.1,7.0,Walking,false,13
11,123.9,98.5,31.9,12.76,38.4,5.7,Walking,false,15
12,152.8,94.9,27.6,18.90,38.9,6.2,Walking,false,16
13,156.4,97.7,32.1,13.23,37.7,4.8,Walking,false,16
14,119.2,98.8,31.1,16.68,38.2,4.1,Walking,false,18
15,142.5,94.1,20.1,19.21,38.2,5.9,Running,false,20
16,102.7,97.7,21.6,17.63,38.2,6.5,Running,false,22
17,150.2,96.3,23.4,17.48,38.8,5.9,Walking,false,22
18,148.8,97.3,33.4,14.11,38.5,4.4,Running,false,23
19,113.6,96.7,27.9,10.55,38.2,5.1,Walking,false,23
20,146.3,96.2,21.3,10.66,38.4,6.5,Walking,false,25
21,145.3,98.2,23.4,15.58,38.6,5.2,Running,false,25
22,130.9,97.0,32.2,10.76,39.0,6.0,Running,false,26
23,122.2,95.6,23.8,14.92,38.9,4.9,Running,false,26
24,155.0,97.3,26.4,10.44,38.7,5.7,Running,false,28
25,103.3,95.7,26.6,15.97,38.5,6.2,Walking,false,28
26,100.4,94.9,28.5,15.59,38.7,6.8,Running,false,28
27,150.9,97.4,26.5,12.55,37.7,4.9,Walking,false,28
28,136.9,97.6,23.6,17.09,38.0,6.3,Walking,false,28
29,146.4,95.4,24.1,16.26,38.1,5.5,Walking,false,28
30,147.3,95.4,29.4,15.41,38.7,4.7,Running,false,30
31,121.8,94.1,33.0,11.08,38.0,7.5,Walking,false,32
32,112.3,98.8,27.6,19.01,38.3,5.7,Walking,false,33
33,104.9,96.4,29.3,12.16,38.6,6.3,Running,false,35
34,132.5,97.2,33.5,16.28,38.3,4.8,Walking,false,37
35,102.2,98.4,26.4,13.58,38.7,4.5,Running,false,38
36,105.7,94.7,34.2,13.04,37.6,7.6,Running,false,40
37,147.0,96.1,27.4,12.89,38.0,6.6,Walking,false,41
38,127.4,97.7,31.6,10.45,37.8,7.1,Running,false,42
39,104.0,96.2,22.6,12.22,37.6,5.1,Running,false,44
40,137.8,96.5,25.1,12.65,38.9,5.6,Walking,false,45
41,147.4,95.6,25.3,17.53,38.1,7.9,Walking,false,45
42,144.6,95.5,27.0,19.63,38.2,6.8,Walking,false,45
43,151.7,99.0,30.1,19.14,37.6,4.1,Running,false,46
44,126.2,95.8,28.1,11.46,38.8,6.7,Walking,false,48
45,109.1,98.2,26.9,19.73,38.9,7.6,Walking,false,49
46,110.9,98.3,26.8,18.52,38.8,6.1,Walking,false,50
47,104.8,95.0,26.4,14.50,38.9,6.8,Running,false,52
48,110.7,95.3,28.3,13.40,38.3,6.7,Running,false,52
49,124.2,94.1,33.6,12.88,39.0,7.4,Walking,false,52
50,145.2,98.4,22.3,10.36,37.8,7.6,Walking,false,54
51,115.8,97.1,28.7,15.66,37.8,5.0,Running,false,56
52,151.0,95.0,30.5,12.23,38.4,5.2,Walking,false,58
53,157.4,98.9,24.2,14.82,38.4,5.6,Walking,false,59
54,112.3,96.1,26.0,11.23,38.9,5.6,Walking,false,61
55,100.2,95.1,26.3,16.68,38.5,4.4,Running,false,63
56,136.8,96.2,23.3,10.20,38.5,5.0,Walking,false,63
57,153.0,96.1,24.5,10.40,38.5,4.7,Walking,false,63
58,125.0,95.9,28.3,16.19,38.6,5.8,Running,false,63
59,117.0,94.2,32.1,17.65,38.4,6.4,Walking,false,65
60,130.1,95.3,34.2,16.09,38.2,7.4,Walking,false,66
61,131.3,95.8,29.8,15.42,37.8,7.1,Walking,false,66
62,119.4,98.5,25.1,16.03,37.8,5.6,Walking,false,66
63,144.5,94.9,34.2,14.30,38.8,5.3,Walking,false,68
64,155.9,97.3,25.0,17.48,37.7,5.6,Walking,false,70
65,142.3,94.2,27.1,16.84,38.6,7.1,Running,false,70
66,123.6,94.4,24.8,14.05,38.5,4.8,Walking,false,72
67,132.4,95.7,29.5,16.86,38.3,5.1,Walking,false,73
68,138.0,98.0,33.0,11.59,37.9,6.1,Walking,false,74
69,130.8,97.4,23.4,18.16,38.0,6.7,Walking,false,76
70,137.9,98.3,23.5,12.76,38.6,5.5,Running,false,77
71,128.5,97.4,20.2,17.53,38.4,7.4,Walking,false,77
72,153.9,98.8,24.1,19.48,38.7,5.0,Walking,false,77
73,103.8,96.4,25.3,14.29,38.5,4.9,Walking,false,77
74,159.4,96.9,21.8,18.50,38.5,5.7,Walking,false,79
75,104.3,98.9,29.6,17.11,38.6,5.4,Walking,false,79
76,130.6,96.4,34.3,17.37,37.7,5.3,Walking,false,80
77,105.9,97.0,28.7,15.81,37.5,6.7,Running,false,82
78,101.8,97.8,29.5,11.70,38.5,4.8,Running,false,83
79,101.6,95.1,31.8,15.86,38.0,7.7,Walking,false,85
80,116.5,95.5,23.5,11.18,38.2,6.3,Running,false,85
81,144.5,98.0,22.7,14.62,37.7,6.6,Running,false,87
82,124.0,95.3,27.6,11.29,37.9,5.3,Running,false,89
83,122.1,98.5,32.8,18.18,37.9,7.3,Walking,false,90
84,109.1,97.0,27.2,10.87,38.6,7.8,Walking,false,90
85,148.2,96.4,20.8,18.98,37.9,4.7,Running,false,90
86,154.9,97.2,25.4,17.77,38.2,7.6,Running,false,92
87,131.7,95.3,31.3,18.16,37.7,6.0,Walking,false,94
88,121.6,95.5,34.6,10.63,37.6,5.9,Running,false,96
89,132.4,97.6,23.5,18.27,38.0,7.2,Walking,false,96
90,119.1,95.5,28.6,16.02,38.6,6.4,Walking,false,98
91,112.7,94.5,33.7,12.26,38.8,6.0,Walking,false,98
92,140.0,94.2,20.7,17.17,38.1,6.6,Walking,false,100
93,134.6,98.4,26.8,12.16,37.9,4.2,Running,false,102
94,139.1,94.5,32.8,15.51,37.6,5.9,Running,false,103
95,144.0,98.9,26.9,10.06,38.7,4.3,Walking,false,103
96,108.5,94.9,23.4,16.99,38.7,5.6,Running,false,105
97,109.3,95.7,31.5,18.07,37.8,5.0,Walking,false,107
98,133.0,98.4,24.9,13.09,38.0,5.0,Walking,false,109
99,136.6,97.0,27.1,12.00,37.9,4.2,Walking,false,111
100,124.7,97.0,34.5,19.95,38.0,7.3,Walking,false,112
101,100.5,97.5,30.0,19.79,38.1,5.1,Running,false,114
102,121.6,98.9,20.4,14.34,38.0,7.8,Walking,false,116
103,125.3,97.3,24.2,10.05,38.4,6.6,Running,false,118
104,102.1,94.2,30.2,19.43,37.9,6.0,Running,false,120
105,159.4,95.3,33.0,17.57,37.6,7.7,Running,false,121
106,128.2,94.4,22.6,18.88,38.2,6.8,Running,false,122
107,109.1,95.8,24.0,14.45,37.6,6.9,Running,false,124
108,135.8,95.4,21.7,14.51,38.0,7.9,Running,false,124
109,134.8,96.6,24.1,15.56,38.0,4.5,Running,false,125
110,126.3,97.8,29.4,11.06,38.1,5.7,Running,false,127
111,102.1,94.9,34.6,12.04,37.8,6.2,Walking,false,127
112,141.2,94.7,23.3,16.84,38.1,5.6,Running,false,128
113,108.3,96.3,22.5,13.16,38.4,4.7,Walking,false,130
114,114.3,95.1,30.3,11.99,38.8,6.3,Walking,false,131
115,103.4,97.0,32.2,15.24,38.7,5.1,Running,false,132
116,154.1,97.5,30.5,16.45,38.8,7.8,Walking,false,132
117,137.6,96.4,23.7,13.24,38.9,6.0,Running,false,134
118,134.3,97.5,26.6,13.28,38.7,6.5,Walking,false,134
119,100.9,97.6,26.3,18.55,38.8,7.6,Running,false,134
120,144.3,94.2,25.6,14.49,37.6,6.7,Running,false,135
121,141.7,98.1,22.6,13.26,38.4,7.3,Walking,false,135
122,140.6,96.5,21.1,11.62,37.9,7.6,Walking,false,136
123,131.4,94.5,26.6,13.01,38.6,7.6,Running,false,136
124,123.0,94.5,28.5,15.27,38.1,5.7,Walking,false,136
125,145.2,97.3,32.0,12.64,38.0,7.5,Running,false,137
126,132.6,96.2,33.6,16.47,37.9,5.4,Walking,false,137
127,101.4,96.7,25.4,12.72,37.5,5.9,Walking,false,137
128,132.0,97.3,27.9,19.81,38.1,6.2,Running,false,139
129,155.5,98.5,34.3,10.12,37.6,7.5,Running,false,140
130,117.3,95.0,21.3,16.16,38.7,7.0,Walking,false,140
131,127.7,95.9,29.6,16.70,37.9,7.6,Running,false,141
132,101.5,95.9,24.5,15.46,38.0,5.9,Walking,false,141
133,127.3,97.3,28.4,11.80,38.6,5.1,Walking,false,141
134,106.0,96.6,24.3,17.12,37.5,5.6,Running,false,142
135,136.9,94.1,28.9,15.06,38.7,4.7,Walking,false,144
136,144.3,97.2,30.0,18.82,37.9,6.7,Walking,false,144
