timestamp,heart_rate,spo2,breathing_rate,gsr,temperature,dehydration_index,posture,fall_detected,steps
0,70.6,99.9,15.7,3.26,37.0,1.1,Sitting,false,0
1,60.8,98.4,15.7,2.34,36.5,1.9,Sitting,false,0
2,65.5,97.1,15.6,2.15,36.6,1.5,Standing,false,0
3,64.6,98.9,13.5,3.92,37.0,1.0,Standing,false,0
4,77.8,97.0,13.1,3.32,36.8,1.9,Standing,false,0
5,64.3,97.4,15.5,2.36,36.5,1.1,Standing,false,0
6,67.3,98.9,13.9,2.43,36.8,1.5,Standing,false,0
7,65.9,99.2,14.5,2.73,37.0,1.8,Standing,false,0
8,73.2,98.8,14.4,3.47,36.8,1.2,Standing,false,0
9,69.6,97.6,12.2,2.13,36.8,1.9,Sitting,false,0
10,71.9,98.2,14.5,2.21,36.5,1.8,Standing,false,0
11,72.4,97.8,13.8,3.42,36.8,1.4,Standing,false,0
12,70.2,97.1,12.2,3.16,37.0,1.1,Standing,false,0
13,78.3,97.7,13.2,2.41,36.7,1.8,Standing,false,0
14,74.0,98.0,14.2,2.08,36.8,1.8,Standing,false,0
15,74.4,99.2,14.6,2.07,36.7,1.5,Standing,false,0
16,75.7,98.4,13.5,3.50,36.6,1.6,Sitting,false,0
17,79.3,98.1,13.4,2.63,36.5,1.8,Standing,false,0
18,72.9,97.6,13.9,2.71,36.8,1.2,Standing,false,0
19,66.5,99.1,14.5,3.64,36.6,1.6,Standing,false,0
20,70.3,97.7,12.9,2.95,36.9,1.1,Sitting,false,0
21,71.0,97.0,15.9,3.44,36.7,1.5,Standing,false,0
22,66.1,98.1,15.2,3.11,36.8,1.1,Standing,false,0
23,62.8,98.5,16.0,2.22,36.6,1.8,Standing,false,0
24,78.4,97.7,14.6,3.28,36.6,1.4,Standing,false,0
25,74.8,97.5,15.8,2.73,36.5,1.3,Standing,false,0
26,75.4,100.0,14.9,3.96,36.9,1.4,Sitting,false,0
27,66.8,99.0,14.1,2.31,36.7,1.3,Standing,false,0
28,78.4,98.4,16.0,2.81,36.7,1.4,Standing,false,0
29,76.9,97.1,14.8,3.73,36.5,1.4,Sitting,false,0
30,75.0,99.7,14.8,3.43,36.7,1.1,Standing,false,0
31,77.3,97.7,13.1,2.13,36.9,1.7,Sitting,false,0
32,73.0,99.8,14.1,2.11,37.0,1.3,Standing,false,0
33,71.9,98.1,15.7,3.82,36.6,1.7,Standing,false,0
34,66.7,97.4,13.2,2.02,36.8,1.3,Standing,false,0
35,70.5,98.4,15.0,3.18,36.8,1.6,Standing,false,0
36,66.4,97.1,14.5,2.38,36.9,1.3,Standing,false,0
37,76.3,97.6,15.9,2.29,36.5,1.6,Standing,false,0
38,66.4,99.9,14.8,3.42,36.7,1.7,Standing,false,0
39,67.7,97.1,13.1,2.12,36.5,1.2,Standing,false,0
40,72.0,97.3,13.6,2.94,37.0,1.0,Standing,false,0
41,77.4,99.1,15.4,3.98,36.7,1.8,Standing,false,0
42,60.9,97.3,12.8,3.66,36.7,1.8,Standing,false,0
43,78.5,99.1,12.1,2.36,36.7,1.2,Standing,false,0
44,62.7,99.0,13.6,3.47,36.7,1.3,Standing,false,0
45,75.4,97.2,12.3,2.25,36.7,1.8,Standing,false,0
46,71.8,98.9,12.9,2.63,36.6,1.5,Standing,false,0
47,70.6,98.2,15.2,2.45,36.7,1.6,Standing,false,0
48,78.4,97.4,14.7,2.97,36.8,1.1,Standing,false,0
49,65.4,99.3,15.2,3.31,36.6,1.3,Sitting,false,0
50,79.1,98.7,15.4,3.13,36.6,1.3,Standing,false,0
51,63.1,98.0,13.7,3.38,36.5,1.1,Standing,false,0
52,68.0,98.7,13.2,3.49,36.8,1.5,Standing,false,0
53,72.5,98.2,12.0,2.44,36.6,1.8,Standing,false,0
54,71.0,99.7,13.5,2.12,36.6,1.6,Standing,false,0
55,62.5,97.9,15.9,3.89,36.9,1.7,Standing,false,0
56,74.4,98.4,12.6,3.95,36.6,1.8,Standing,false,0
57,66.2,99.7,15.3,3.05,36.8,1.3,Standing,false,0
58,79.1,98.3,12.3,3.15,36.7,1.4,Standing,false,0
59,68.0,99.0,14.6,3.59,36.6,1.2,Standing,false,0
